# word_universe.tsv — generated by scripts/build_word_universe.py
# format: word<TAB>sig
a	70
aaa	235
aachen	77
aardvark	69
aaron	77
ab	68
aback	7
abacus	229
abalone	231
abandon	247
abandoned	183
abandonment	247
abash	23
abashed	23
abate	23
abatement	247
abbe	69
abbey	85
abbot	85
abbreviate	183
abbreviated	183
abbreviation	247
abdicate	181
abdication	247
abdomen	247
abdominal	247
abduct	23
abducting	183
abduction	247
abductor	215
abed	7
abel	77
abelard	237
abele	71
aberdeen	253
aberrant	247
aberration	247
abet	23
abeyance	215
abhor	23
abhorrence	247
abhorrent	183
abide	23
abiding	183
abidjan	239
abila	207
abilene	237
ability	247
abject	5
abkhazia	207
abkhazian	239
ablaze	7
able	21
able-bodied	165
abloom	23
ably	5
abnormal	183
abnormality	247
abnormally	167
abo	93
aboard	7
abode	87
abolish	183
abolition	247
abolitionism	247
abolitionist	247
abominable	183
abomination	247
abor	79
aboriginal	247
aborigine	247
abort	87
abortifacient	247
abortion	247
abortionist	247
abortive	183
abound	23
abounding	183
about	7
above	71
aboveboard	183
abracadabra	231
abraham	237
abrasion	247
abrasive	247
abreast	7
abridge	23
abridged	23
abridgement	247
abroad	7
abrogate	181
abrogation	247
abrupt	23
abruptly	135
abruptness	247
abs	205
abscess	69
abscond	23
absence	85
absent	21
absentee	215
absenteeism	231
absinthe	69
absolute	245
absolutely	167
absoluteness	245
absolution	247
absolutism	245
absolutist	247
absolve	23
absolved	23
absorb	23
absorbed	23
absorbency	247
absorbent	247
absorber	215
absorbing	183
absorption	247
abstain	23
abstention	247
abstinence	245
abstinent	245
abstract	87
abstracted	181
abstraction	247
abstruse	23
absurd	87
absurdity	247
absurdly	135
abundance	247
abundant	183
abundantly	167
abuse	87
abused	23
abuser	215
abusive	183
abut	23
abuzz	7
abysmal	183
abysmally	167
abyss	87
abyssinia	223
abyssinian	239
ac	77
acacia	199
academe	245
academia	247
academic	247
academically	167
academician	247
academy	247
acadia	207
acantha	215
acapulco	239
accede	23
accelerate	183
accelerated	183
acceleration	247
accelerator	247
accelerometer	231
accent	87
accented	181
accenting	245
accentuate	183
accept	23
acceptability	247
acceptable	183
acceptably	167
acceptance	247
accepted	183
accepting	183
access	85
accessibility	247
accessible	183
accession	247
accessory	215
accident	245
accidental	247
accidentally	167
acclaim	87
acclamation	247
acclimate	181
acclimation	247
accolade	245
accommodate	183
accommodating	183
accommodation	247
accommodative	183
accompanied	183
accompaniment	247
accompanist	247
accompany	183
accompanying	183
accomplice	247
accomplish	183
accomplished	183
accomplishment	247
accord	87
accordance	247
according	183
accordingly	167
accordion	231
accost	23
account	87
accountability	247
accountable	183
accountancy	247
accountant	247
accounting	247
accouterment	247
accoutrement	247
accredit	183
accreditation	247
accredited	183
accretion	247
accrual	215
accrue	23
accrued	23
accumulate	183
accumulated	183
accumulation	247
accumulative	183
accumulator	247
accuracy	197
accurate	149
accurately	133
accusation	247
accusative	247
accusatory	183
accuse	23
accused	87
accuser	215
accusing	183
accusingly	167
accustom	183
accustomed	183
ace	84
acer	77
acerbic	183
acetaminophen	231
acetate	229
acetic	167
acetone	245
acetylcholine	231
acetylene	247
achaean	207
ache	84
acheson	237
achievable	183
achieve	23
achievement	247
achiever	215
achilles	239
aching	85
achy	21
acid	85
acidic	183
acidification	247
acidify	183
acidity	247
acidosis	247
acknowledge	183
acknowledgeable	183
acknowledged	183
acknowledgement	247
acknowledgment	247
acme	85
acne	69
acolyte	229
acorn	69
acoustic	247
acoustical	183
acoustically	167
acoustics	247
acquaint	23
acquaintance	247
acquaintanceship	247
acquainted	183
acquiesce	151
acquiescence	247
acquire	151
acquired	151
acquirer	215
acquiring	247
acquisition	247
acquisitive	183
acquit	23
acquittal	247
acquitted	183
acre	69
acreage	197
acres	69
acrid	21
acrimonious	183
acrimony	245
acrobat	229
acrobatic	183
acrobatics	247
acrolein	229
acronym	245
acropolis	231
across	7
acrylic	231
act	84
actin	69
acting	85
actinide	229
actinidia	239
actinomycosis	247
action	85
actionable	181
activase	237
activate	181
